Date,,Berri1,Boyer,Brébeuf,CSC (Côte Sainte-Catherine),Maisonneuve_1,Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,Parc U-Zelt Test,PierDup,Pont_Jacques_Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Laurent U-Zelt Test,Saint-Urbain,Totem_Laurier,University,Viger
22/08/2015,00:00,3907,3871,4324,1293,,1032,1277,1706,1677,,3107,2546,3241,4576,2012,265,,1896,2429,1657,308
23/08/2015,00:00,3742,3816,4250,1368,,914,1360,1670,1837,,3394,3076,3760,4729,1963,272,,1753,2465,1671,281
24/08/2015,00:00,5111,3840,5284,2225,,947,1958,2269,3053,,2162,2966,3271,4662,2864,646,,2186,2930,3777,525
25/08/2015,00:00,6095,4641,6140,2523,,148,2189,2574,3508,,2738,3264,3906,5627,3314,687,,1669,3340,4131,668
26/08/2015,00:00,5644,4371,6033,2658,,8,2250,2468,3492,,2453,3169,4177,5513,3253,700,,1462,3149,4393,633
27/08/2015,00:00,5341,4203,5481,2371,,4,2000,2139,3288,,1743,2684,3879,5475,2849,582,,2239,3207,3876,516
28/08/2015,00:00,5337,4658,5815,2376,,3,2043,2364,3219,,2521,2907,4374,5478,3194,629,,2758,3373,3930,570
29/08/2015,00:00,3455,3629,3708,1185,,4,1247,1330,1583,,2485,2408,3474,4260,1784,246,,1934,2457,1795,224
30/08/2015,00:00,3703,3606,4132,1349,,2,1371,1498,1777,,3281,2906,3946,4510,1848,253,,1803,2568,1697,264
31/08/2015,00:00,5420,4273,5685,2808,,14,2216,2555,3552,,2174,2961,3908,4876,2911,653,,2554,3103,4320,599
01/09/2015,00:00,6289,4896,6759,3334,,154,2442,2780,4051,,2716,3555,4474,5937,3562,711,,2953,3609,4780,644
02/09/2015,00:00,5565,4317,6035,3229,,440,2344,2487,3691,,2540,2941,4212,5478,3200,665,,2794,3395,4540,637
03/09/2015,00:00,5858,4783,6300,3254,,379,2392,2547,4048,,2321,3143,4513,6035,3392,641,,3011,3487,4786,646
04/09/2015,00:00,5521,4394,5770,2728,,148,2124,2422,3797,,2222,2803,4400,5519,3148,639,,2899,3267,4519,527
05/09/2015,00:00,4105,3632,4286,1143,,232,1304,1581,1787,,2952,2814,3550,4520,1991,315,,1878,2277,2025,270
06/09/2015,00:00,3701,3163,3596,1059,,139,1140,1450,1854,,2757,2897,3365,3996,1975,254,,1558,1964,1805,379
07/09/2015,00:00,3124,2838,3496,998,,154,1147,1258,1307,,3004,2754,2496,3603,1630,216,,1245,1851,1413,245
08/09/2015,00:00,6194,3953,5815,2786,,126,2202,2389,4063,,1727,2613,3956,5395,3081,651,,2528,3118,4976,595
09/09/2015,00:00,5792,3592,5132,2696,,180,2010,2154,3844,,1307,2201,3655,4798,2797,729,,2648,3099,4718,666
10/09/2015,00:00,6886,4673,6366,3049,,158,2460,2683,4414,,2232,3070,4507,6333,3492,781,,3083,2498,5596,708
11/09/2015,00:00,6787,4633,6326,2780,,338,2336,2683,4087,,2143,2932,4642,6284,3512,671,,3109,3291,4751,605
12/09/2015,00:00,1641,1479,1748,836,,180,618,540,860,,667,1114,1906,2303,672,109,,1039,1340,1012,97
13/09/2015,00:00,857,788,965,335,,146,342,239,713,,368,726,1322,1491,337,75,,646,801,611,85
14/09/2015,00:00,2564,1755,2593,1509,,290,1085,901,2008,,559,1102,2162,2755,1231,301,,1314,1736,2375,254
15/09/2015,00:00,6763,4553,6233,3283,,523,2423,2620,4452,,2478,3019,4713,5849,3288,748,,3213,3121,5416,564
16/09/2015,00:00,6810,4487,6562,3122,,669,2481,2670,4396,,2485,2964,4847,5897,3394,690,,3057,3278,5438,729
17/09/2015,00:00,6652,4566,6322,2991,,328,2490,2560,4263,,2152,2855,4687,5939,3232,732,,3029,3293,5198,638
18/09/2015,00:00,6391,4534,6242,2490,,167,2244,2553,4025,,2211,2563,4715,5929,3254,698,,2761,3155,4939,681
19/09/2015,00:00,3337,2897,3425,1157,,353,1159,1165,1730,,2043,1878,3184,3942,1480,246,,1563,2076,1868,332
20/09/2015,00:00,3042,3070,2591,1252,,444,1083,1059,1706,,1437,3001,3730,4231,1482,219,,1629,2071,1757,202
21/09/2015,00:00,5371,3768,5474,2885,,943,2185,2305,4059,,1717,2321,4149,5257,2841,729,,2590,2673,4886,629
22/09/2015,00:00,6228,4094,6096,2996,,94,2397,2509,4270,,1911,2728,4521,5678,3159,687,,2766,2878,5159,681
23/09/2015,00:00,6279,4300,5959,3107,,68,2334,2544,4294,,1937,2701,4688,6181,3160,720,,2748,2875,5259,686
24/09/2015,00:00,6520,3921,5690,2912,,29,2282,2226,4247,,1608,2491,4416,5460,2919,670,,2851,2792,5066,646
25/09/2015,00:00,5191,3215,4756,1990,,230,1896,1771,3439,0,1298,2014,3713,4717,2230,568,,2487,2655,4325,532
26/09/2015,00:00,3155,2834,3170,1062,,102,1103,1020,1592,1251,1827,1782,3090,3960,1299,241,,1453,1902,1795,254
27/09/2015,00:00,3325,3161,3717,1162,,74,1158,1261,1698,1713,2719,2484,3706,4230,1616,199,5498,1377,2103,1786,209
28/09/2015,00:00,4313,2537,3869,2154,,447,1662,1577,3164,3131,1063,1711,2827,3711,1935,468,7382,2023,2163,3903,584
29/09/2015,00:00,3318,1782,3012,1677,,353,1281,1122,2439,2423,578,1187,2361,3101,1427,312,5662,1510,1721,3066,394
30/09/2015,00:00,2829,1667,2520,1477,,452,997,878,2242,2245,403,1063,2100,2618,1163,322,5515,1404,1639,2726,269
01/10/2015,00:00,4950,2896,4352,2189,,623,1695,1744,3423,3335,1091,1946,3425,4349,2128,516,7388,2216,2435,3712,496
02/10/2015,00:00,4092,2706,3929,1761,,187,1541,1379,2878,2755,916,1774,3152,4284,1882,469,6178,2076,2133,3523,432
03/10/2015,00:00,2019,1975,2190,800,,20,781,537,1255,1233,721,880,2555,3117,684,135,3936,1202,1547,1353,163
04/10/2015,00:00,1962,1938,2095,798,,13,845,640,1191,1142,1070,1179,2295,2753,805,131,3529,988,1300,1207,147
05/10/2015,00:00,4365,2575,4056,2175,,12,1736,1630,3261,3123,1013,1735,3060,4025,1985,505,6417,2067,2043,4075,518
06/10/2015,00:00,4986,2900,4566,2224,,53,1815,1724,3411,3287,1291,2046,3286,4601,2140,578,6794,2179,2112,4211,527
07/10/2015,00:00,4943,3021,4555,2314,,49,1769,1761,3360,3330,1184,1962,3393,4493,1935,564,7022,2202,2260,4206,533
08/10/2015,00:00,4710,2943,4466,2126,,316,1786,1656,3320,3209,928,1810,3355,4335,2031,514,6786,2129,2026,4115,523
09/10/2015,00:00,1538,938,1486,682,,260,574,477,1311,1283,160,566,1367,1872,642,191,2805,932,1057,1421,156
10/10/2015,00:00,1653,1437,1904,571,,291,571,488,982,955,811,999,2043,2384,659,159,3155,966,1204,1094,124
11/10/2015,00:00,1574,1436,1733,585,,162,567,492,899,876,685,1010,1811,2121,644,126,2643,787,1015,936,139
12/10/2015,00:00,2592,2611,3105,1029,,327,1058,1194,1405,1367,2664,2198,3013,3561,1518,223,4086,1051,1437,1220,213
13/10/2015,00:00,3457,1767,3065,1500,,211,1286,1178,2477,2425,557,1257,2249,3125,1457,362,4993,1507,1460,2965,410
14/10/2015,00:00,4321,2407,3875,1909,,380,1501,1417,3100,3041,719,1563,2895,3667,1836,530,6346,1748,1801,3924,454
15/10/2015,00:00,3583,2047,3274,1484,,89,1075,1040,2530,2489,501,1221,2369,3169,1422,379,6386,1670,1583,3043,394
16/10/2015,00:00,3424,2031,3144,1294,,266,1187,966,2406,2322,600,1092,2568,3271,1317,443,5665,1598,1698,2984,331
17/10/2015,00:00,963,1037,1167,370,,689,326,293,699,1455,129,409,1286,1493,329,59,2241,615,853,726,87
18/10/2015,00:00,1062,1057,1306,423,,882,338,324,782,763,252,574,1436,1627,422,60,2832,635,887,815,89
19/10/2015,00:00,2717,1752,2555,955,,166,1027,910,2119,2092,445,1018,1981,3045,1152,344,4782,1295,1411,2529,352
20/10/2015,00:00,3750,2280,3568,1322,,61,1550,1276,2799,2730,832,1511,2550,3460,1561,398,6260,1632,1755,3427,397
21/10/2015,00:00,3717,2258,3465,1391,,244,1273,1208,2774,2728,709,1441,2556,3546,1561,394,5964,1717,1789,3198,383
22/10/2015,00:00,3207,1723,2909,1093,,85,1023,849,2191,2154,468,1046,2202,2925,1173,333,4946,1317,1505,2677,333
23/10/2015,00:00,3142,2034,3048,1129,,143,1088,1340,2307,2271,569,1192,2343,3254,1311,364,5416,1526,1614,2722,345
24/10/2015,00:00,1491,1434,1750,594,,168,556,536,1015,1015,465,843,1888,2273,533,101,3213,871,1201,1026,117
25/10/2015,00:00,890,971,1009,448,,110,344,342,646,629,174,380,1141,1462,327,65,2107,528,805,725,81
26/10/2015,00:00,3012,1930,2931,1369,,230,1114,1074,2379,2372,611,1201,2141,3099,1368,402,5484,1505,1540,2940,393
27/10/2015,00:00,3301,2110,3222,1491,,340,1216,1180,2737,2701,761,1339,2367,3381,1511,385,5706,1626,1773,3184,422
28/10/2015,00:00,1733,999,1643,830,,198,653,631,1512,1495,200,581,1301,1909,749,174,3367,956,1050,1868,230
29/10/2015,00:00,2249,1233,2014,1043,,1203,789,765,1876,1825,230,638,1671,2272,861,265,4024,1076,1292,2170,275
30/10/2015,00:00,2630,1746,2632,1212,,121,991,960,2160,2121,468,1079,2127,2913,1133,328,4869,1450,1638,2593,322
31/10/2015,00:00,1396,1347,1557,478,,30,506,490,913,896,418,666,1541,2049,486,113,3078,867,1178,937,103
01/11/2015,00:00,529,644,715,227,,38,218,218,459,461,41,219,723,1111,179,43,1554,410,611,446,50
02/11/2015,00:00,3177,1975,2912,1457,,47,1136,1096,2455,2380,571,1124,2228,3198,1364,351,5253,1472,1434,2985,451
03/11/2015,00:00,3738,2279,3378,1558,,181,1285,1242,2630,2641,785,1264,2502,3511,1533,396,5939,1678,1742,3316,441
04/11/2015,00:00,3757,2351,3464,1704,,33,1334,1296,2747,2837,809,1341,2482,3584,1606,399,6079,1735,1823,3184,381
05/11/2015,00:00,3774,2407,3513,1694,,273,1334,1293,2820,3072,804,1299,2426,3590,1537,372,6258,1772,1855,3313,375
06/11/2015,00:00,2613,1477,2334,1025,,177,879,853,1935,2395,301,701,2130,2675,1016,271,4522,1205,1430,2234,309
07/11/2015,00:00,1879,1481,1838,595,,343,606,593,1076,1326,491,707,1719,2251,590,120,2688,923,1215,1163,124
08/11/2015,00:00,1240,1254,1470,514,,151,452,436,787,2121,334,566,1301,1920,367,79,2302,704,989,812,95
09/11/2015,00:00,2972,1855,2857,1327,,44,1076,1043,2360,3604,500,1055,2370,3005,1226,321,4057,1500,1376,2758,377
10/11/2015,00:00,3385,2006,3018,1491,,3663,1201,1164,2508,3772,671,1144,2435,3293,1449,336,4214,1638,1640,3002,377
11/11/2015,00:00,3044,1931,2828,1393,,3603,1754,1142,2342,3997,458,950,2328,3280,1210,338,4065,1534,1527,2860,356
12/11/2015,00:00,1751,930,1670,888,,2048,700,675,1566,2945,152,467,1345,1877,755,180,2336,960,955,1777,198
13/11/2015,00:00,1818,906,1711,873,,2115,634,477,1522,1693,150,482,1416,1980,719,204,2628,978,1040,1727,258
14/11/2015,00:00,979,759,978,322,,1112,290,310,601,604,98,266,1061,1448,269,70,1876,640,805,737,73
15/11/2015,00:00,913,749,1028,348,,1128,303,224,666,663,224,380,1094,1491,321,64,1913,537,804,685,63
